"Производитель: E[Hitachi];  Тип: S[Бытовые сплит-системы];  (Сплит система) Инвертор: S[да];  (Сплит система) Холодопроизводительность: N[2.5];  (Сплит система) Теплопроизводительность: N[3.2];  (Сплит система) Площадь помещения: N[];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[0.49];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[0.621];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш ? Г ? В): S[795x294x250];  (Внутренний блок) Упаковка (Ш ? Г ? В): S[827x316x356];  (Внутренний блок) Масса (нетто / брутто): S[ / 13];  (Внутренний блок) Уровень шума мин. / макс.: S[22 / 41];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш ? Г ? В): S[792x600x299];  (Наружный блок) Упаковка (Ш ? Г ? В): S[924x650x400];  (Наружный блок) Масса (нетто / брутто): S[37 / 40];  (Наружный блок) Максимальный уровень шума: N[47];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[от -10 до +43];  (Допустимая темп. наружного воздуха) Обогрев: S[от -20 до +24]"
"Производитель: E[Hitachi];  Тип: S[Наружные блоки мульти сплит-систем];  (Сплит система) Инвертор: S[Да];  (Сплит система) Холодопроизводительность: N[5.3];  (Сплит система) Теплопроизводительность: N[6.8];  (Сплит система) Площадь помещения: N[];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[1.29];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[1.61];  (Рабочий ток) Напряжение / Частота источника питания: S[220-240/50-60/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш ? Г ? В): S[];  (Внутренний блок) Упаковка (Ш ? Г ? В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ / ];  (Внутренний блок) Уровень шума мин. / макс.: S[ / ];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш ? Г ? В): S[850x800x298];  (Наружный блок) Упаковка (Ш ? Г ? В): S[1008x848x404];  (Наружный блок) Масса (нетто / брутто): S[54 / 62];  (Наружный блок) Максимальный уровень шума: N[50];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[20];  (Допустимая темп. наружного воздуха) Охлаждение: S[от -10 до +46];  (Допустимая темп. наружного воздуха) Обогрев: S[от -15 до +24]"
"Производитель: E[Hitachi];  Тип: S[Наружные блоки мульти сплит-систем];  (Сплит система) Инвертор: S[Да];  (Сплит система) Холодопроизводительность: N[6.8];  (Сплит система) Теплопроизводительность: N[8.5];  (Сплит система) Площадь помещения: N[];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[1.83];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[2.12];  (Рабочий ток) Напряжение / Частота источника питания: S[220-240/50-60/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш ? Г ? В): S[];  (Внутренний блок) Упаковка (Ш ? Г ? В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ / ];  (Внутренний блок) Уровень шума мин. / макс.: S[ / ];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш ? Г ? В): S[850x800x298];  (Наружный блок) Упаковка (Ш ? Г ? В): S[1008x848x404];  (Наружный блок) Масса (нетто / брутто): S[58 / 62];  (Наружный блок) Максимальный уровень шума: N[50];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[20];  (Допустимая темп. наружного воздуха) Охлаждение: S[от -10 до +46];  (Допустимая темп. наружного воздуха) Обогрев: S[от -15 до +24]"
"Производитель: E[Hitachi];  Тип: S[Наружные блоки мульти сплит-систем];  (Сплит система) Инвертор: S[Да];  (Сплит система) Холодопроизводительность: N[7];  (Сплит система) Теплопроизводительность: N[8.5];  (Сплит система) Площадь помещения: N[];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[1.89];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[2.02];  (Рабочий ток) Напряжение / Частота источника питания: S[220-240/50-60/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш ? Г ? В): S[];  (Внутренний блок) Упаковка (Ш ? Г ? В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ / ];  (Внутренний блок) Уровень шума мин. / макс.: S[ / ];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш ? Г ? В): S[850x800x298];  (Наружный блок) Упаковка (Ш ? Г ? В): S[1008x848x404];  (Наружный блок) Масса (нетто / брутто): S[58 / 63];  (Наружный блок) Максимальный уровень шума: N[50];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[20];  (Допустимая темп. наружного воздуха) Охлаждение: S[от -10 до +46];  (Допустимая темп. наружного воздуха) Обогрев: S[от -15 до +24]"
"Производитель: E[Hitachi];  Тип: S[Наружные блоки мульти сплит-систем];  (Сплит система) Инвертор: S[Да];  (Сплит система) Холодопроизводительность: N[8.5];  (Сплит система) Теплопроизводительность: N[10];  (Сплит система) Площадь помещения: N[];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[2.5];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[2.56];  (Рабочий ток) Напряжение / Частота источника питания: S[220-240/50-60/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш ? Г ? В): S[];  (Внутренний блок) Упаковка (Ш ? Г ? В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ / ];  (Внутренний блок) Уровень шума мин. / макс.: S[ / ];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш ? Г ? В): S[950x800x370];  (Наружный блок) Упаковка (Ш ? Г ? В): S[1072x868x508];  (Наружный блок) Масса (нетто / брутто): S[71 / 80];  (Наружный блок) Максимальный уровень шума: N[53];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[20];  (Допустимая темп. наружного воздуха) Охлаждение: S[от -10 до +46];  (Допустимая темп. наружного воздуха) Обогрев: S[от -15 до +24]"
"Производитель: E[Hitachi];  Тип: S[Внутренние блоки мульти сплит-систем];  (Сплит система) Инвертор: S[Да];  (Сплит система) Холодопроизводительность: N[1.8];  (Сплит система) Теплопроизводительность: N[2.5];  (Сплит система) Площадь помещения: N[];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[0.18];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[0.18];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш ? Г ? В): S[750x235x400];  (Внутренний блок) Упаковка (Ш ? Г ? В): S[806x306x594];  (Внутренний блок) Масса (нетто / брутто): S[ / 18];  (Внутренний блок) Уровень шума мин. / макс.: S[27.5 / 38.5];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш ? Г ? В): S[];  (Наружный блок) Упаковка (Ш ? Г ? В): S[];  (Наружный блок) Масса (нетто / брутто): S[ / ];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[от  до +];  (Допустимая темп. наружного воздуха) Обогрев: S[от  до +]"
"Производитель: E[Hitachi];  Тип: S[Внутренние блоки мульти сплит-систем];  (Сплит система) Инвертор: S[Да];  (Сплит система) Холодопроизводительность: N[2.5];  (Сплит система) Теплопроизводительность: N[3.5];  (Сплит система) Площадь помещения: N[];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[0.18];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[0.18];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш ? Г ? В): S[750x235x400];  (Внутренний блок) Упаковка (Ш ? Г ? В): S[806x306x594];  (Внутренний блок) Масса (нетто / брутто): S[ / 18];  (Внутренний блок) Уровень шума мин. / макс.: S[27.5 / 38.5];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш ? Г ? В): S[];  (Наружный блок) Упаковка (Ш ? Г ? В): S[];  (Наружный блок) Масса (нетто / брутто): S[ / ];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[от  до +];  (Допустимая темп. наружного воздуха) Обогрев: S[от  до +]"
"Производитель: E[Hitachi];  Тип: S[Внутренние блоки мульти сплит-систем];  (Сплит система) Инвертор: S[Да];  (Сплит система) Холодопроизводительность: N[3.5];  (Сплит система) Теплопроизводительность: N[4.8];  (Сплит система) Площадь помещения: N[];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[0.18];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[0.18];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш ? Г ? В): S[750x235x400];  (Внутренний блок) Упаковка (Ш ? Г ? В): S[806x306x594];  (Внутренний блок) Масса (нетто / брутто): S[ / 18];  (Внутренний блок) Уровень шума мин. / макс.: S[27.5 / 38.5];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш ? Г ? В): S[];  (Наружный блок) Упаковка (Ш ? Г ? В): S[];  (Наружный блок) Масса (нетто / брутто): S[ / ];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[от  до +];  (Допустимая темп. наружного воздуха) Обогрев: S[от  до +]"
"Производитель: E[Hitachi];  Тип: S[Внутренние блоки мульти сплит-систем];  (Сплит система) Инвертор: S[Да];  (Сплит система) Холодопроизводительность: N[5];  (Сплит система) Теплопроизводительность: N[6];  (Сплит система) Площадь помещения: N[];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[0.18];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[0.18];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш ? Г ? В): S[900x270x720];  (Внутренний блок) Упаковка (Ш ? Г ? В): S[1110x280x850];  (Внутренний блок) Масса (нетто / брутто): S[ / 39];  (Внутренний блок) Уровень шума мин. / макс.: S[29 / 39];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш ? Г ? В): S[];  (Наружный блок) Упаковка (Ш ? Г ? В): S[];  (Наружный блок) Масса (нетто / брутто): S[ / ];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[от  до +];  (Допустимая темп. наружного воздуха) Обогрев: S[от  до +]"
"Производитель: E[Hitachi];  Тип: S[Внутренние блоки мульти сплит-систем];  (Сплит система) Инвертор: S[Да];  (Сплит система) Холодопроизводительность: N[6];  (Сплит система) Теплопроизводительность: N[7];  (Сплит система) Площадь помещения: N[];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[0.18];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[0.18];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш ? Г ? В): S[900x270x720];  (Внутренний блок) Упаковка (Ш ? Г ? В): S[1110x280x850];  (Внутренний блок) Масса (нетто / брутто): S[ / 39];  (Внутренний блок) Уровень шума мин. / макс.: S[29 / 39];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш ? Г ? В): S[];  (Наружный блок) Упаковка (Ш ? Г ? В): S[];  (Наружный блок) Масса (нетто / брутто): S[ / ];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[от  до +];  (Допустимая темп. наружного воздуха) Обогрев: S[от  до +]"
"Производитель: E[Hitachi];  Тип: S[Внутренние блоки мульти сплит-систем];  (Сплит система) Инвертор: S[Да];  (Сплит система) Холодопроизводительность: N[2.5];  (Сплит система) Теплопроизводительность: N[3.5];  (Сплит система) Площадь помещения: N[];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[0.04];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[0.04];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш ? Г ? В): S[570x285x570];  (Внутренний блок) Упаковка (Ш ? Г ? В): S[690x312x602];  (Внутренний блок) Масса (нетто / брутто): S[ / 21];  (Внутренний блок) Уровень шума мин. / макс.: S[27 / 38];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш ? Г ? В): S[];  (Наружный блок) Упаковка (Ш ? Г ? В): S[];  (Наружный блок) Масса (нетто / брутто): S[ / ];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[от  до +];  (Допустимая темп. наружного воздуха) Обогрев: S[от  до +]"
"Производитель: E[Hitachi];  Тип: S[Внутренние блоки мульти сплит-систем];  (Сплит система) Инвертор: S[Да];  (Сплит система) Холодопроизводительность: N[3.5];  (Сплит система) Теплопроизводительность: N[4.8];  (Сплит система) Площадь помещения: N[];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[0.04];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[0.04];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш ? Г ? В): S[570x285x570];  (Внутренний блок) Упаковка (Ш ? Г ? В): S[690x312x602];  (Внутренний блок) Масса (нетто / брутто): S[ / 21];  (Внутренний блок) Уровень шума мин. / макс.: S[27 / 40];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш ? Г ? В): S[];  (Наружный блок) Упаковка (Ш ? Г ? В): S[];  (Наружный блок) Масса (нетто / брутто): S[ / ];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[от  до +];  (Допустимая темп. наружного воздуха) Обогрев: S[от  до +]"
"Производитель: E[Hitachi];  Тип: S[Внутренние блоки мульти сплит-систем];  (Сплит система) Инвертор: S[Да];  (Сплит система) Холодопроизводительность: N[5];  (Сплит система) Теплопроизводительность: N[6];  (Сплит система) Площадь помещения: N[];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[0.04];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[0.04];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш ? Г ? В): S[570x285x570];  (Внутренний блок) Упаковка (Ш ? Г ? В): S[690x312x602];  (Внутренний блок) Масса (нетто / брутто): S[ / 21];  (Внутренний блок) Уровень шума мин. / макс.: S[29 / 43];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш ? Г ? В): S[];  (Наружный блок) Упаковка (Ш ? Г ? В): S[];  (Наружный блок) Масса (нетто / брутто): S[ / ];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[от  до +];  (Допустимая темп. наружного воздуха) Обогрев: S[от  до +]"
"Производитель: E[Hitachi];  Тип: S[Внутренние блоки мульти сплит-систем];  (Сплит система) Инвертор: S[Да];  (Сплит система) Холодопроизводительность: N[6];  (Сплит система) Теплопроизводительность: N[7];  (Сплит система) Площадь помещения: N[];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[0.04];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[0.04];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш ? Г ? В): S[570x285x570];  (Внутренний блок) Упаковка (Ш ? Г ? В): S[690x312x602];  (Внутренний блок) Масса (нетто / брутто): S[ / 21];  (Внутренний блок) Уровень шума мин. / макс.: S[29 / 43];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш ? Г ? В): S[];  (Наружный блок) Упаковка (Ш ? Г ? В): S[];  (Наружный блок) Масса (нетто / брутто): S[ / ];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[от  до +];  (Допустимая темп. наружного воздуха) Обогрев: S[от  до +]"
"Производитель: E[Hitachi];  Тип: S[Внутренние блоки мульти сплит-систем];  (Сплит система) Инвертор: S[Да];  (Сплит система) Холодопроизводительность: N[2.5];  (Сплит система) Теплопроизводительность: N[3.4];  (Сплит система) Площадь помещения: N[];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[0.02];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[0.02];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш ? Г ? В): S[750x590x215];  (Внутренний блок) Упаковка (Ш ? Г ? В): S[800x646x286];  (Внутренний блок) Масса (нетто / брутто): S[ / 17];  (Внутренний блок) Уровень шума мин. / макс.: S[20 / 38];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш ? Г ? В): S[];  (Наружный блок) Упаковка (Ш ? Г ? В): S[];  (Наружный блок) Масса (нетто / брутто): S[ / ];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[от  до +];  (Допустимая темп. наружного воздуха) Обогрев: S[от  до +]"
"Производитель: E[Hitachi];  Тип: S[Внутренние блоки мульти сплит-систем];  (Сплит система) Инвертор: S[Да];  (Сплит система) Холодопроизводительность: N[3.5];  (Сплит система) Теплопроизводительность: N[4.5];  (Сплит система) Площадь помещения: N[];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[0.02];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[0.02];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш ? Г ? В): S[750x590x215];  (Внутренний блок) Упаковка (Ш ? Г ? В): S[800x646x286];  (Внутренний блок) Масса (нетто / брутто): S[ / 17];  (Внутренний блок) Уровень шума мин. / макс.: S[20 / 39];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш ? Г ? В): S[];  (Наружный блок) Упаковка (Ш ? Г ? В): S[];  (Наружный блок) Масса (нетто / брутто): S[ / ];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[от  до +];  (Допустимая темп. наружного воздуха) Обогрев: S[от  до +]"
"Производитель: E[Hitachi];  Тип: S[Внутренние блоки мульти сплит-систем];  (Сплит система) Инвертор: S[Да];  (Сплит система) Холодопроизводительность: N[5];  (Сплит система) Теплопроизводительность: N[6];  (Сплит система) Площадь помещения: N[];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[0.02];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[0.02];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш ? Г ? В): S[750x590x215];  (Внутренний блок) Упаковка (Ш ? Г ? В): S[800x646x286];  (Внутренний блок) Масса (нетто / брутто): S[ / 17];  (Внутренний блок) Уровень шума мин. / макс.: S[22 / 43];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш ? Г ? В): S[];  (Наружный блок) Упаковка (Ш ? Г ? В): S[];  (Наружный блок) Масса (нетто / брутто): S[ / ];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[от  до +];  (Допустимая темп. наружного воздуха) Обогрев: S[от  до +]"
"Производитель: E[Hitachi];  Тип: S[Внутренние блоки мульти сплит-систем];  (Сплит система) Инвертор: S[Да];  (Сплит система) Холодопроизводительность: N[1.8];  (Сплит система) Теплопроизводительность: N[2.5];  (Сплит система) Площадь помещения: N[];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[0.02];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[0.02];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш ? Г ? В): S[900x295x210];  (Внутренний блок) Упаковка (Ш ? Г ? В): S[954x290x360];  (Внутренний блок) Масса (нетто / брутто): S[ / 13.5];  (Внутренний блок) Уровень шума мин. / макс.: S[20 / 34];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш ? Г ? В): S[];  (Наружный блок) Упаковка (Ш ? Г ? В): S[];  (Наружный блок) Масса (нетто / брутто): S[ / ];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[от  до +];  (Допустимая темп. наружного воздуха) Обогрев: S[от  до +]"
