"Производитель: E[Axioma];  Тип: S[Мульти сплит система];  (Сплит система) Холодопроизводительность: N[4.1];  (Сплит система) Площадь помещения: N[40];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[4.31];  (Потребляемая мощность) Охлаждение: N[1.25];  (Потребляемая мощность) Обогрев: S[1.16];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ - / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[853x349x602];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[31];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52];  (Соединительные трубы) Максимальная длина трубопровода: N[15];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daikin];  Тип: S[Сплит система];  (Сплит система) Холодопроизводительность: N[5];  (Сплит система) Площадь помещения: N[50];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[5.8];  (Потребляемая мощность) Охлаждение: N[1.36];  (Потребляемая мощность) Обогрев: S[1.45];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[998x292x299];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[1.45 / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[44/36/27];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[870x373x734];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[49];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.4];  (Соединительные трубы) Газовая линия : N[12.7];  (Соединительные трубы) Максимальная длина трубопровода: N[30];  (Соединительные трубы) Максимальный перепад высот: S[20];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daikin];  Тип: S[Сплит система];  (Сплит система) Холодопроизводительность: N[5];  (Сплит система) Площадь помещения: N[50];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[6];  (Потребляемая мощность) Охлаждение: N[1.25];  (Потребляемая мощность) Обогрев: S[1.5];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[998x292x299];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[1.45 / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[44/36/27];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[870x373x734];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[52];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.4];  (Соединительные трубы) Газовая линия : N[12.7];  (Соединительные трубы) Максимальная длина трубопровода: N[50];  (Соединительные трубы) Максимальный перепад высот: S[30];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daikin];  Тип: S[Сплит система];  (Сплит система) Холодопроизводительность: N[6];  (Сплит система) Площадь помещения: N[60];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[7];  (Потребляемая мощность) Охлаждение: N[1.77];  (Потребляемая мощность) Обогрев: S[1.94];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[998x292x299];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[1.45 / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[46/37/30];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[870x373x734];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[49];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.4];  (Соединительные трубы) Газовая линия : N[12.7];  (Соединительные трубы) Максимальная длина трубопровода: N[30];  (Соединительные трубы) Максимальный перепад высот: S[20];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daikin];  Тип: S[Сплит система];  (Сплит система) Холодопроизводительность: N[6];  (Сплит система) Площадь помещения: N[60];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[7];  (Потребляемая мощность) Охлаждение: N[1.77];  (Потребляемая мощность) Обогрев: S[1.94];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[998x292x299];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[1.45 / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[46/37/30];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[870x373x734];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[49];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.4];  (Соединительные трубы) Газовая линия : N[12.7];  (Соединительные трубы) Максимальная длина трубопровода: N[30];  (Соединительные трубы) Максимальный перепад высот: S[20];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daikin];  Тип: S[Сплит система];  (Сплит система) Холодопроизводительность: N[6];  (Сплит система) Площадь помещения: N[60];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[7];  (Потребляемая мощность) Охлаждение: N[1.71];  (Потребляемая мощность) Обогрев: S[1.94];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[998x292x299];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[1.45 / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[46/37/30];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[870x373x734];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[52];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.4];  (Соединительные трубы) Газовая линия : N[12.7];  (Соединительные трубы) Максимальная длина трубопровода: N[50];  (Соединительные трубы) Максимальный перепад высот: S[30];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daikin];  Тип: S[Сплит система];  (Сплит система) Холодопроизводительность: N[7.1];  (Сплит система) Площадь помещения: N[70];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[8.2];  (Потребляемая мощность) Охлаждение: N[2.34];  (Потребляемая мощность) Обогрев: S[2.57];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[998x292x299];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[1.45 / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[47/38/32];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[954x401x734];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[52];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.4];  (Соединительные трубы) Газовая линия : N[12.7];  (Соединительные трубы) Максимальная длина трубопровода: N[30];  (Соединительные трубы) Максимальный перепад высот: S[20];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daikin];  Тип: S[Сплит система];  (Сплит система) Холодопроизводительность: N[7.1];  (Сплит система) Площадь помещения: N[70];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[8.2];  (Потребляемая мощность) Охлаждение: N[2.34];  (Потребляемая мощность) Обогрев: S[2.57];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[998x292x299];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[1.45 / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[47/38/32];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[954x401x734];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[52];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.4];  (Соединительные трубы) Газовая линия : N[12.7];  (Соединительные трубы) Максимальная длина трубопровода: N[30];  (Соединительные трубы) Максимальный перепад высот: S[20];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daikin];  Тип: S[Сплит система];  (Сплит система) Холодопроизводительность: N[2];  (Сплит система) Площадь помещения: N[20];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[2.5];  (Потребляемая мощность) Охлаждение: N[0.5];  (Потребляемая мощность) Обогрев: S[0.52];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[770x225x286];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[0.85 / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[39/25/19];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[658x275x550];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[26];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.4];  (Соединительные трубы) Газовая линия : N[9.5];  (Соединительные трубы) Максимальная длина трубопровода: N[15];  (Соединительные трубы) Максимальный перепад высот: S[12];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daikin];  Тип: S[Сплит система];  (Сплит система) Холодопроизводительность: N[2.5];  (Сплит система) Площадь помещения: N[25];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[3];  (Потребляемая мощность) Охлаждение: N[0.65];  (Потребляемая мощность) Обогрев: S[0.69];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[770x225x286];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[0.85 / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[40/26/19];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[658x275x550];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[26];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.4];  (Соединительные трубы) Газовая линия : N[9.5];  (Соединительные трубы) Максимальная длина трубопровода: N[15];  (Соединительные трубы) Максимальный перепад высот: S[12];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daikin];  Тип: S[Сплит система];  (Сплит система) Холодопроизводительность: N[3.5];  (Сплит система) Площадь помещения: N[35];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[4];  (Потребляемая мощность) Охлаждение: N[1.01];  (Потребляемая мощность) Обогрев: S[1];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[770x225x286];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[0.9 / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[43/27/19];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[658x275x550];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[28];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.4];  (Соединительные трубы) Газовая линия : N[9.5];  (Соединительные трубы) Максимальная длина трубопровода: N[15];  (Соединительные трубы) Максимальный перепад высот: S[12];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daikin];  Тип: S[Сплит система];  (Сплит система) Холодопроизводительность: N[5];  (Сплит система) Площадь помещения: N[50];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[6];  (Потребляемая мощность) Охлаждение: N[1.39];  (Потребляемая мощность) Обогрев: S[1.58];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[990x263x295];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[1.35 / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[43/34/27];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[870x373x734];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[46];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.4];  (Соединительные трубы) Газовая линия : N[12.7];  (Соединительные трубы) Максимальная длина трубопровода: N[30];  (Соединительные трубы) Максимальный перепад высот: S[20];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daikin];  Тип: S[Сплит система];  (Сплит система) Холодопроизводительность: N[6];  (Сплит система) Площадь помещения: N[60];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[7];  (Потребляемая мощность) Охлаждение: N[1.82];  (Потребляемая мощность) Обогрев: S[1.93];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[990x263x295];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[1.35 / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[45/36/30];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[870x373x734];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[50];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.4];  (Соединительные трубы) Газовая линия : N[12.7];  (Соединительные трубы) Максимальная длина трубопровода: N[30];  (Соединительные трубы) Максимальный перепад высот: S[20];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daikin];  Тип: S[Сплит система];  (Сплит система) Холодопроизводительность: N[7.1];  (Сплит система) Площадь помещения: N[70];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[8.2];  (Потребляемая мощность) Охлаждение: N[2.69];  (Потребляемая мощность) Обогрев: S[2.57];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[990x263x295];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[1.35 / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[46/37/32];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[870x373x734];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[50];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.4];  (Соединительные трубы) Газовая линия : N[12.7];  (Соединительные трубы) Максимальная длина трубопровода: N[30];  (Соединительные трубы) Максимальный перепад высот: S[20];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daikin];  Тип: S[Сплит система];  (Сплит система) Холодопроизводительность: N[2.14];  (Сплит система) Площадь помещения: N[20];  (Сплит система) Инвертор: S[нет];  (Сплит система) Теплопроизводительность: N[2.06];  (Потребляемая мощность) Охлаждение: N[0.65];  (Потребляемая мощность) Обогрев: S[0.56];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R410A];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[800x206x288];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[0.9 / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[36/25/24];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[600x245x494];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[25];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.4];  (Соединительные трубы) Газовая линия : N[9.5];  (Соединительные трубы) Максимальная длина трубопровода: N[12];  (Соединительные трубы) Максимальный перепад высот: S[5];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daikin];  Тип: S[Сплит система];  (Сплит система) Холодопроизводительность: N[2.14];  (Сплит система) Площадь помещения: N[20];  (Сплит система) Инвертор: S[нет];  (Сплит система) Теплопроизводительность: N[2.06];  (Потребляемая мощность) Охлаждение: N[0.65];  (Потребляемая мощность) Обогрев: S[0.56];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R410A];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[800x206x288];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[0.9 / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[36/25/24];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[600x245x494];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[25];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.4];  (Соединительные трубы) Газовая линия : N[9.5];  (Соединительные трубы) Максимальная длина трубопровода: N[12];  (Соединительные трубы) Максимальный перепад высот: S[5];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daikin];  Тип: S[Сплит система];  (Сплит система) Холодопроизводительность: N[2.65];  (Сплит система) Площадь помещения: N[25];  (Сплит система) Инвертор: S[нет];  (Сплит система) Теплопроизводительность: N[2.8];  (Потребляемая мощность) Охлаждение: N[0.83];  (Потребляемая мощность) Обогрев: S[0.78];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R410A];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[800x206x288];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[0.9 / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[39/27/25];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[700x250x521];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[29];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.4];  (Соединительные трубы) Газовая линия : N[9.5];  (Соединительные трубы) Максимальная длина трубопровода: N[12];  (Соединительные трубы) Максимальный перепад высот: S[5];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daikin];  Тип: S[Сплит система];  (Сплит система) Холодопроизводительность: N[2.65];  (Сплит система) Площадь помещения: N[25];  (Сплит система) Инвертор: S[нет];  (Сплит система) Теплопроизводительность: N[2.8];  (Потребляемая мощность) Охлаждение: N[0.83];  (Потребляемая мощность) Обогрев: S[0.78];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R410A];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[800x206x288];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[0.9 / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[39/27/25];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[700x250x521];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[29];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.4];  (Соединительные трубы) Газовая линия : N[9.5];  (Соединительные трубы) Максимальная длина трубопровода: N[20];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daikin];  Тип: S[Сплит система];  (Сплит система) Холодопроизводительность: N[3.3];  (Сплит система) Площадь помещения: N[35];  (Сплит система) Инвертор: S[нет];  (Сплит система) Теплопроизводительность: N[3.47];  (Потребляемая мощность) Охлаждение: N[1.08];  (Потребляемая мощность) Обогрев: S[0.98];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R410A];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[800x206x288];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[0.9 / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[41/29/27];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[700x250x521];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[31];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.4];  (Соединительные трубы) Газовая линия : N[12.7];  (Соединительные трубы) Максимальная длина трубопровода: N[12];  (Соединительные трубы) Максимальный перепад высот: S[5];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
