"Производитель: E[Axioma];  Тип: S[Мультисистема];  (Сплит система) Холодопроизводительность: N[4.85];  (Сплит система) Площадь помещения: N[40];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[5.2];  (Потребляемая мощность) Охлаждение: N[1.56];  (Потребляемая мощность) Обогрев: S[1.56];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш * Г * В): S[];  (Внутренний блок) Упаковка (Ш * Г * В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ - / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш * Г * В): S[];  (Наружный блок) Упаковка (Ш * Г * В): S[853*349*602];  (Наружный блок) Масса (нетто / брутто): S[];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52];  (Соединительные трубы) Максимальная длина трубопровода: N[15];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Настенный];  (Сплит система) Холодопроизводительность: N[2.4];  (Сплит система) Площадь помещения: N[20];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[3.3];  (Потребляемая мощность) Охлаждение: N[0.72];  (Потребляемая мощность) Обогрев: S[0.95];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш * Г * В): S[770*225*286];  (Внутренний блок) Упаковка (Ш * Г * В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ - / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[39/25/20];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш * Г * В): S[];  (Наружный блок) Упаковка (Ш * Г * В): S[];  (Наружный блок) Масса (нетто / брутто): S[25.5];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.4];  (Соединительные трубы) Газовая линия : N[9.5];  (Соединительные трубы) Максимальная длина трубопровода: N[20];  (Соединительные трубы) Максимальный перепад высот: S[12];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Настенный];  (Сплит система) Холодопроизводительность: N[2.4];  (Сплит система) Площадь помещения: N[20];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[3.3];  (Потребляемая мощность) Охлаждение: N[0.72];  (Потребляемая мощность) Обогрев: S[0.95];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш * Г * В): S[770*225*286];  (Внутренний блок) Упаковка (Ш * Г * В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ - / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[39/25/20];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш * Г * В): S[];  (Наружный блок) Упаковка (Ш * Г * В): S[];  (Наружный блок) Масса (нетто / брутто): S[25.5];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.4];  (Соединительные трубы) Газовая линия : N[9.5];  (Соединительные трубы) Максимальная длина трубопровода: N[20];  (Соединительные трубы) Максимальный перепад высот: S[12];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Настенный];  (Сплит система) Холодопроизводительность: N[2.8];  (Сплит система) Площадь помещения: N[25];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[3.7];  (Потребляемая мощность) Охлаждение: N[1.05];  (Потребляемая мощность) Обогрев: S[1.11];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш * Г * В): S[770*225*286];  (Внутренний блок) Упаковка (Ш * Г * В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ - / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[40/26/20];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш * Г * В): S[];  (Наружный блок) Упаковка (Ш * Г * В): S[];  (Наружный блок) Масса (нетто / брутто): S[25.5];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.4];  (Соединительные трубы) Газовая линия : N[9.5];  (Соединительные трубы) Максимальная длина трубопровода: N[20];  (Соединительные трубы) Максимальный перепад высот: S[12];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Настенный];  (Сплит система) Холодопроизводительность: N[2.8];  (Сплит система) Площадь помещения: N[25];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[3.7];  (Потребляемая мощность) Охлаждение: N[1.05];  (Потребляемая мощность) Обогрев: S[1.11];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш * Г * В): S[770*225*286];  (Внутренний блок) Упаковка (Ш * Г * В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ - / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[40/26/20];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш * Г * В): S[];  (Наружный блок) Упаковка (Ш * Г * В): S[];  (Наружный блок) Масса (нетто / брутто): S[25.5];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.4];  (Соединительные трубы) Газовая линия : N[9.5];  (Соединительные трубы) Максимальная длина трубопровода: N[20];  (Соединительные трубы) Максимальный перепад высот: S[12];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Настенный];  (Сплит система) Холодопроизводительность: N[2.8];  (Сплит система) Площадь помещения: N[25];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[3.7];  (Потребляемая мощность) Охлаждение: N[1.05];  (Потребляемая мощность) Обогрев: S[1.11];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш * Г * В): S[770*225*286];  (Внутренний блок) Упаковка (Ш * Г * В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ - / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[40/26/20];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш * Г * В): S[];  (Наружный блок) Упаковка (Ш * Г * В): S[];  (Наружный блок) Масса (нетто / брутто): S[25.5];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.4];  (Соединительные трубы) Газовая линия : N[9.5];  (Соединительные трубы) Максимальная длина трубопровода: N[20];  (Соединительные трубы) Максимальный перепад высот: S[12];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Настенный];  (Сплит система) Холодопроизводительность: N[2.8];  (Сплит система) Площадь помещения: N[25];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[3.7];  (Потребляемая мощность) Охлаждение: N[1.05];  (Потребляемая мощность) Обогрев: S[1.11];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш * Г * В): S[770*225*286];  (Внутренний блок) Упаковка (Ш * Г * В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ - / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[40/26/20];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш * Г * В): S[];  (Наружный блок) Упаковка (Ш * Г * В): S[];  (Наружный блок) Масса (нетто / брутто): S[25.5];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.4];  (Соединительные трубы) Газовая линия : N[9.5];  (Соединительные трубы) Максимальная длина трубопровода: N[20];  (Соединительные трубы) Максимальный перепад высот: S[12];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Настенный];  (Сплит система) Холодопроизводительность: N[3.8];  (Сплит система) Площадь помещения: N[35];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[4.4];  (Потребляемая мощность) Охлаждение: N[1.4];  (Потребляемая мощность) Обогрев: S[1.5];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш * Г * В): S[770*225*286];  (Внутренний блок) Упаковка (Ш * Г * В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ - / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[43/27/20];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш * Г * В): S[];  (Наружный блок) Упаковка (Ш * Г * В): S[];  (Наружный блок) Масса (нетто / брутто): S[26];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.4];  (Соединительные трубы) Газовая линия : N[9.5];  (Соединительные трубы) Максимальная длина трубопровода: N[20];  (Соединительные трубы) Максимальный перепад высот: S[12];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Настенный];  (Сплит система) Холодопроизводительность: N[3.8];  (Сплит система) Площадь помещения: N[35];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[4.4];  (Потребляемая мощность) Охлаждение: N[1.4];  (Потребляемая мощность) Обогрев: S[1.5];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш * Г * В): S[770*225*286];  (Внутренний блок) Упаковка (Ш * Г * В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ - / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[43/27/20];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш * Г * В): S[];  (Наружный блок) Упаковка (Ш * Г * В): S[];  (Наружный блок) Масса (нетто / брутто): S[26];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.4];  (Соединительные трубы) Газовая линия : N[9.5];  (Соединительные трубы) Максимальная длина трубопровода: N[20];  (Соединительные трубы) Максимальный перепад высот: S[12];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Настенный];  (Сплит система) Холодопроизводительность: N[3.8];  (Сплит система) Площадь помещения: N[35];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[4.4];  (Потребляемая мощность) Охлаждение: N[1.4];  (Потребляемая мощность) Обогрев: S[1.5];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш * Г * В): S[770*225*286];  (Внутренний блок) Упаковка (Ш * Г * В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ - / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[43/27/20];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш * Г * В): S[];  (Наружный блок) Упаковка (Ш * Г * В): S[];  (Наружный блок) Масса (нетто / брутто): S[26];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.4];  (Соединительные трубы) Газовая линия : N[9.5];  (Соединительные трубы) Максимальная длина трубопровода: N[20];  (Соединительные трубы) Максимальный перепад высот: S[12];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Настенный];  (Сплит система) Холодопроизводительность: N[3.8];  (Сплит система) Площадь помещения: N[35];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[4.4];  (Потребляемая мощность) Охлаждение: N[1.4];  (Потребляемая мощность) Обогрев: S[1.5];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш * Г * В): S[770*225*286];  (Внутренний блок) Упаковка (Ш * Г * В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ - / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[43/27/20];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш * Г * В): S[];  (Наружный блок) Упаковка (Ш * Г * В): S[];  (Наружный блок) Масса (нетто / брутто): S[26];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.4];  (Соединительные трубы) Газовая линия : N[9.5];  (Соединительные трубы) Максимальная длина трубопровода: N[20];  (Соединительные трубы) Максимальный перепад высот: S[12];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Настенный];  (Сплит система) Холодопроизводительность: N[4.3];  (Сплит система) Площадь помещения: N[45];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[5];  (Потребляемая мощность) Охлаждение: N[1.5];  (Потребляемая мощность) Обогрев: S[1.4];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш * Г * В): S[770*225*286];  (Внутренний блок) Упаковка (Ш * Г * В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ - / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[45/30/22];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш * Г * В): S[];  (Наружный блок) Упаковка (Ш * Г * В): S[];  (Наружный блок) Масса (нетто / брутто): S[28];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.4];  (Соединительные трубы) Газовая линия : N[9.5];  (Соединительные трубы) Максимальная длина трубопровода: N[20];  (Соединительные трубы) Максимальный перепад высот: S[12];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Настенный];  (Сплит система) Холодопроизводительность: N[4.3];  (Сплит система) Площадь помещения: N[40];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[5];  (Потребляемая мощность) Охлаждение: N[1.5];  (Потребляемая мощность) Обогрев: S[1.4];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш * Г * В): S[770*225*286];  (Внутренний блок) Упаковка (Ш * Г * В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ - / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[45/30/22];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш * Г * В): S[];  (Наружный блок) Упаковка (Ш * Г * В): S[];  (Наружный блок) Масса (нетто / брутто): S[28];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.4];  (Соединительные трубы) Газовая линия : N[9.5];  (Соединительные трубы) Максимальная длина трубопровода: N[20];  (Соединительные трубы) Максимальный перепад высот: S[12];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Настенный];  (Сплит система) Холодопроизводительность: N[6];  (Сплит система) Площадь помещения: N[50];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[7.7];  (Потребляемая мощность) Охлаждение: N[1.83];  (Потребляемая мощность) Обогрев: S[2.36];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш * Г * В): S[990*263*295];  (Внутренний блок) Упаковка (Ш * Г * В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ - / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[43/34/31];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш * Г * В): S[];  (Наружный блок) Упаковка (Ш * Г * В): S[];  (Наружный блок) Масса (нетто / брутто): S[46];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.4];  (Соединительные трубы) Газовая линия : N[12.7];  (Соединительные трубы) Максимальная длина трубопровода: N[30];  (Соединительные трубы) Максимальный перепад высот: S[20];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Настенный];  (Сплит система) Холодопроизводительность: N[6];  (Сплит система) Площадь помещения: N[50];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[7.7];  (Потребляемая мощность) Охлаждение: N[1.83];  (Потребляемая мощность) Обогрев: S[2.36];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш * Г * В): S[990*263*295];  (Внутренний блок) Упаковка (Ш * Г * В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ - / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[43/34/31];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш * Г * В): S[];  (Наружный блок) Упаковка (Ш * Г * В): S[];  (Наружный блок) Масса (нетто / брутто): S[46];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.4];  (Соединительные трубы) Газовая линия : N[12.7];  (Соединительные трубы) Максимальная длина трубопровода: N[30];  (Соединительные трубы) Максимальный перепад высот: S[20];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Настенный];  (Сплит система) Холодопроизводительность: N[6];  (Сплит система) Площадь помещения: N[50];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[7.7];  (Потребляемая мощность) Охлаждение: N[1.83];  (Потребляемая мощность) Обогрев: S[2.36];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш * Г * В): S[990*263*295];  (Внутренний блок) Упаковка (Ш * Г * В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ - / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[43/34/31];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш * Г * В): S[];  (Наружный блок) Упаковка (Ш * Г * В): S[];  (Наружный блок) Масса (нетто / брутто): S[46];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.4];  (Соединительные трубы) Газовая линия : N[12.7];  (Соединительные трубы) Максимальная длина трубопровода: N[30];  (Соединительные трубы) Максимальный перепад высот: S[20];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Настенный];  (Сплит система) Холодопроизводительность: N[6];  (Сплит система) Площадь помещения: N[50];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[7.7];  (Потребляемая мощность) Охлаждение: N[1.83];  (Потребляемая мощность) Обогрев: S[2.36];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш * Г * В): S[990*263*298];  (Внутренний блок) Упаковка (Ш * Г * В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ - / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[43/34/31];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш * Г * В): S[];  (Наружный блок) Упаковка (Ш * Г * В): S[];  (Наружный блок) Масса (нетто / брутто): S[46];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.4];  (Соединительные трубы) Газовая линия : N[12.7];  (Соединительные трубы) Максимальная длина трубопровода: N[30];  (Соединительные трубы) Максимальный перепад высот: S[20];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Настенный];  (Сплит система) Холодопроизводительность: N[7];  (Сплит система) Площадь помещения: N[60];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[8];  (Потребляемая мощность) Охлаждение: N[2.98];  (Потребляемая мощность) Обогрев: S[2.79];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш * Г * В): S[990*263*295];  (Внутренний блок) Упаковка (Ш * Г * В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ - / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[45/36/33];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш * Г * В): S[];  (Наружный блок) Упаковка (Ш * Г * В): S[];  (Наружный блок) Масса (нетто / брутто): S[46];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.4];  (Соединительные трубы) Газовая линия : N[12.7];  (Соединительные трубы) Максимальная длина трубопровода: N[30];  (Соединительные трубы) Максимальный перепад высот: S[20];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Настенный];  (Сплит система) Холодопроизводительность: N[7];  (Сплит система) Площадь помещения: N[60];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[8];  (Потребляемая мощность) Охлаждение: N[2.98];  (Потребляемая мощность) Обогрев: S[2.79];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш * Г * В): S[990*263*295];  (Внутренний блок) Упаковка (Ш * Г * В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ - / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[45/36/33];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш * Г * В): S[];  (Наружный блок) Упаковка (Ш * Г * В): S[];  (Наружный блок) Масса (нетто / брутто): S[50];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.4];  (Соединительные трубы) Газовая линия : N[12.7];  (Соединительные трубы) Максимальная длина трубопровода: N[30];  (Соединительные трубы) Максимальный перепад высот: S[20];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
