"Производитель: E[267800];  Тип: S[Кассетные];  (Сплит система) Инвертор: S[нет];  (Сплит система) Холодопроизводительность: N[10];  (Сплит система) Теплопроизводительность: N[10.6];  (Сплит система) Площадь помещения: N[100];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[2.99];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[2.79];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[965 x 950 x 370];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[82];  (Внутренний блок) Уровень шума мин. / макс.: S[52];  (Наружный блок) Марка компрессора: S[Mitsubishi с двумя роторами];  (Наружный блок) Размеры (Ш x Г x В): S[965 x 950 x 370];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[94];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[9.52];  (Соединительные трубы) Газовая линия : N[15.88 (5/8)];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[67200];  Тип: S[Сплит система];  (Сплит система) Инвертор: S[да];  (Сплит система) Холодопроизводительность: N[5];  (Сплит система) Теплопроизводительность: N[5.2];  (Сплит система) Площадь помещения: N[50];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[1.46];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[1.4];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[800 x 275 x 553];  (Внутренний блок) Упаковка (Ш x Г x В): S[908 x 405 x 625];  (Внутренний блок) Масса (нетто / брутто): S[32.7];  (Внутренний блок) Уровень шума мин. / макс.: S[53];  (Наружный блок) Марка компрессора: S[HIGHLY];  (Наружный блок) Размеры (Ш x Г x В): S[800 x 275 x 553];  (Наружный блок) Упаковка (Ш x Г x В): S[908 x 405 x 625];  (Наружный блок) Масса (нетто / брутто): S[36.5];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[12.7];  (Соединительные трубы) Максимальная длина трубопровода: N[25/15];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[44600];  Тип: S[Сплит система];  (Сплит система) Инвертор: S[да];  (Сплит система) Холодопроизводительность: N[3.4];  (Сплит система) Теплопроизводительность: N[3.9];  (Сплит система) Площадь помещения: N[34];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[1.06];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[1.055];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[700 x 245 x 544];  (Внутренний блок) Упаковка (Ш x Г x В): S[845 x 320 x 593];  (Внутренний блок) Масса (нетто / брутто): S[23.9];  (Внутренний блок) Уровень шума мин. / макс.: S[52];  (Наружный блок) Марка компрессора: S[HIGHLY];  (Наружный блок) Размеры (Ш x Г x В): S[700 x 245 x 544];  (Наружный блок) Упаковка (Ш x Г x В): S[845 x 320 x 593];  (Наружный блок) Масса (нетто / брутто): S[26];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52];  (Соединительные трубы) Максимальная длина трубопровода: N[15/10];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[87600];  Тип: S[Сплит система];  (Сплит система) Инвертор: S[да];  (Сплит система) Холодопроизводительность: N[7];  (Сплит система) Теплопроизводительность: N[8.1];  (Сплит система) Площадь помещения: N[70];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[2.16];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[2.18];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[890 x 353 x 697];  (Внутренний блок) Упаковка (Ш x Г x В): S[1046 x 460 x 780];  (Внутренний блок) Масса (нетто / брутто): S[47.3];  (Внутренний блок) Уровень шума мин. / макс.: S[52];  (Наружный блок) Марка компрессора: S[HIGHLY];  (Наружный блок) Размеры (Ш x Г x В): S[890 x 353 x 697];  (Наружный блок) Упаковка (Ш x Г x В): S[1046 x 460 x 780];  (Наружный блок) Масса (нетто / брутто): S[52.3];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[12.7];  (Соединительные трубы) Максимальная длина трубопровода: N[25/15];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[87700];  Тип: S[Мульти сплит система];  (Сплит система) Инвертор: S[да];  (Сплит система) Холодопроизводительность: N[5];  (Сплит система) Теплопроизводительность: N[5.7];  (Сплит система) Площадь помещения: N[50];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[1.5];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[1.4];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[];  (Внутренний блок) Уровень шума мин. / макс.: S[];  (Наружный блок) Марка компрессора: S[Mitsubishi Electric];  (Наружный блок) Размеры (Ш x Г x В): S[890 x 288 x 688];  (Наружный блок) Упаковка (Ш x Г x В): S[949 x 406 x 760];  (Наружный блок) Масса (нетто / брутто): S[];  (Наружный блок) Максимальный уровень шума: N[63];  (Соединительные трубы) Жидкостная линия : N[2 x 6.35 (1/4)];  (Соединительные трубы) Газовая линия : N[2 x 9.52 (3/8)];  (Соединительные трубы) Максимальная длина трубопровода: N[30];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[65900];  Тип: S[Сплит система];  (Сплит система) Инвертор: S[да];  (Сплит система) Холодопроизводительность: N[3.5];  (Сплит система) Теплопроизводительность: N[3.6];  (Сплит система) Площадь помещения: N[35];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[0.995];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[1060];  (Рабочий ток) Напряжение / Частота источника питания: S[];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[700 x 245 x 544];  (Внутренний блок) Упаковка (Ш x Г x В): S[845 x 320 x 593];  (Внутренний блок) Масса (нетто / брутто): S[22.8];  (Внутренний блок) Уровень шума мин. / макс.: S[50];  (Наружный блок) Марка компрессора: S[Highly];  (Наружный блок) Размеры (Ш x Г x В): S[700 x 245 x 544];  (Наружный блок) Упаковка (Ш x Г x В): S[845 x 320 x 593];  (Наружный блок) Масса (нетто / брутто): S[25.3];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52 (3/8)];  (Соединительные трубы) Максимальная длина трубопровода: N[15/10];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[169800];  Тип: S[Мульти сплит система];  (Сплит система) Инвертор: S[да];  (Сплит система) Холодопроизводительность: N[5.4];  (Сплит система) Теплопроизводительность: N[6.5];  (Сплит система) Площадь помещения: N[54];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[1.32];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[1.46];  (Рабочий ток) Напряжение / Частота источника питания: S[220/50/1];  (Рабочий ток) Хладагент: S[R410A];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[855 x 204 x 280];  (Внутренний блок) Упаковка (Ш x Г x В): S[992 x 408 x 760];  (Внутренний блок) Масса (нетто / брутто): S[10];  (Внутренний блок) Уровень шума мин. / макс.: S[52];  (Наружный блок) Марка компрессора: S[Mitsubishi];  (Наружный блок) Размеры (Ш x Г x В): S[855 x 204 x 280];  (Наружный блок) Упаковка (Ш x Г x В): S[992 x 408 x 760];  (Наружный блок) Масса (нетто / брутто): S[12.2];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52];  (Соединительные трубы) Максимальная длина трубопровода: N[25];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[129800];  Тип: S[Мульти сплит система];  (Сплит система) Инвертор: S[];  (Сплит система) Холодопроизводительность: N[4];  (Сплит система) Теплопроизводительность: N[4.4];  (Сплит система) Площадь помещения: N[40];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[800 x 280 x 553];  (Внутренний блок) Упаковка (Ш x Г x В): S[954 x 409 x 625];  (Внутренний блок) Масса (нетто / брутто): S[9.5];  (Внутренний блок) Уровень шума мин. / макс.: S[];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[800 x 280 x 553];  (Наружный блок) Упаковка (Ш x Г x В): S[954 x 409 x 625];  (Наружный блок) Масса (нетто / брутто): S[12];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52 (3/8)];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[129800];  Тип: S[Мульти сплит система];  (Сплит система) Инвертор: S[];  (Сплит система) Холодопроизводительность: N[4];  (Сплит система) Теплопроизводительность: N[4.4];  (Сплит система) Площадь помещения: N[40];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[800 x 280 x 553];  (Внутренний блок) Упаковка (Ш x Г x В): S[954 x 409 x 625];  (Внутренний блок) Масса (нетто / брутто): S[9.5];  (Внутренний блок) Уровень шума мин. / макс.: S[];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[800 x 280 x 553];  (Наружный блок) Упаковка (Ш x Г x В): S[954 x 409 x 625];  (Наружный блок) Масса (нетто / брутто): S[12];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52 (3/8)];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[129800];  Тип: S[Мульти сплит система];  (Сплит система) Инвертор: S[];  (Сплит система) Холодопроизводительность: N[4];  (Сплит система) Теплопроизводительность: N[4.4];  (Сплит система) Площадь помещения: N[40];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[800 x 280 x 553];  (Внутренний блок) Упаковка (Ш x Г x В): S[954 x 409 x 625];  (Внутренний блок) Масса (нетто / брутто): S[9.5];  (Внутренний блок) Уровень шума мин. / макс.: S[];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[800 x 280 x 553];  (Наружный блок) Упаковка (Ш x Г x В): S[954 x 409 x 625];  (Наружный блок) Масса (нетто / брутто): S[];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52 (3/8)];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[187600];  Тип: S[Мульти сплит система];  (Сплит система) Инвертор: S[да];  (Сплит система) Холодопроизводительность: N[6.7];  (Сплит система) Теплопроизводительность: N[8];  (Сплит система) Площадь помещения: N[67];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[1.67];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[1.82];  (Рабочий ток) Напряжение / Частота источника питания: S[];  (Рабочий ток) Хладагент: S[R410A];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[948 x 340 x 840];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[76];  (Внутренний блок) Уровень шума мин. / макс.: S[];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[948 x 340 x 840];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[87];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[173600];  Тип: S[Мульти сплит система];  (Сплит система) Инвертор: S[да];  (Сплит система) Холодопроизводительность: N[5.4];  (Сплит система) Теплопроизводительность: N[6.5];  (Сплит система) Площадь помещения: N[54];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[1.3];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[1.45];  (Рабочий ток) Напряжение / Частота источника питания: S[220/50/1];  (Рабочий ток) Хладагент: S[R410A];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[886 x 288 x 688];  (Внутренний блок) Упаковка (Ш x Г x В): S[992 x 408 x 760];  (Внутренний блок) Масса (нетто / брутто): S[51];  (Внутренний блок) Уровень шума мин. / макс.: S[52];  (Наружный блок) Марка компрессора: S[Mitsubishi];  (Наружный блок) Размеры (Ш x Г x В): S[886 x 288 x 688];  (Наружный блок) Упаковка (Ш x Г x В): S[992 x 408 x 760];  (Наружный блок) Масса (нетто / брутто): S[53];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52];  (Соединительные трубы) Максимальная длина трубопровода: N[25];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[31100];  Тип: S[Кассетные];  (Сплит система) Инвертор: S[да];  (Сплит система) Холодопроизводительность: N[2.6];  (Сплит система) Теплопроизводительность: N[3.2];  (Сплит система) Площадь помещения: N[26];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[570 x 570 x 260];  (Внутренний блок) Упаковка (Ш x Г x В): S[718 x 680 x 380];  (Внутренний блок) Масса (нетто / брутто): S[17];  (Внутренний блок) Уровень шума мин. / макс.: S[];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[570 x 570 x 260];  (Наружный блок) Упаковка (Ш x Г x В): S[718 x 680 x 380];  (Наружный блок) Масса (нетто / брутто): S[20];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[33000];  Тип: S[Кассетные];  (Сплит система) Инвертор: S[да];  (Сплит система) Холодопроизводительность: N[3.5];  (Сплит система) Теплопроизводительность: N[4];  (Сплит система) Площадь помещения: N[35];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[570 x 570 x 260];  (Внутренний блок) Упаковка (Ш x Г x В): S[718 x 680 x 380];  (Внутренний блок) Масса (нетто / брутто): S[18.5];  (Внутренний блок) Уровень шума мин. / макс.: S[];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[570 x 570 x 260];  (Наружный блок) Упаковка (Ш x Г x В): S[718 x 680 x 380];  (Наружный блок) Масса (нетто / брутто): S[22];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[36200];  Тип: S[Кассетные];  (Сплит система) Инвертор: S[да];  (Сплит система) Холодопроизводительность: N[2.6];  (Сплит система) Теплопроизводительность: N[3.2];  (Сплит система) Площадь помещения: N[26];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[570 x 570 x 260];  (Внутренний блок) Упаковка (Ш x Г x В): S[718 x 680 x 380];  (Внутренний блок) Масса (нетто / брутто): S[17];  (Внутренний блок) Уровень шума мин. / макс.: S[];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[570 x 570 x 260];  (Наружный блок) Упаковка (Ш x Г x В): S[718 x 680 x 380];  (Наружный блок) Масса (нетто / брутто): S[20];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[37500];  Тип: S[Кассетные];  (Сплит система) Инвертор: S[да];  (Сплит система) Холодопроизводительность: N[3.5];  (Сплит система) Теплопроизводительность: N[3.2];  (Сплит система) Площадь помещения: N[35];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[570 x 570 x 260];  (Внутренний блок) Упаковка (Ш x Г x В): S[718 x 680 x 380];  (Внутренний блок) Масса (нетто / брутто): S[18.5];  (Внутренний блок) Уровень шума мин. / макс.: S[];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[570 x 570 x 260];  (Наружный блок) Упаковка (Ш x Г x В): S[718 x 680 x 380];  (Наружный блок) Масса (нетто / брутто): S[22];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[51200];  Тип: S[Напольно-потолочные];  (Сплит система) Инвертор: S[];  (Сплит система) Холодопроизводительность: N[3.5];  (Сплит система) Теплопроизводительность: N[4];  (Сплит система) Площадь помещения: N[35];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[1000 x 230 x 680];  (Внутренний блок) Упаковка (Ш x Г x В): S[1100 x 305 x 779];  (Внутренний блок) Масса (нетто / брутто): S[26];  (Внутренний блок) Уровень шума мин. / макс.: S[];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[1000 x 230 x 680];  (Наружный блок) Упаковка (Ш x Г x В): S[1100 x 305 x 779];  (Наружный блок) Масса (нетто / брутто): S[32];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[38000];  Тип: S[Канальные];  (Сплит система) Инвертор: S[];  (Сплит система) Холодопроизводительность: N[2.5];  (Сплит система) Теплопроизводительность: N[3];  (Сплит система) Площадь помещения: N[25];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[850 x 420 x 185];  (Внутренний блок) Упаковка (Ш x Г x В): S[1025 x 525 x 270];  (Внутренний блок) Масса (нетто / брутто): S[16];  (Внутренний блок) Уровень шума мин. / макс.: S[];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[850 x 420 x 185];  (Наружный блок) Упаковка (Ш x Г x В): S[1025 x 525 x 270];  (Наружный блок) Масса (нетто / брутто): S[21];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[39600];  Тип: S[Канальные];  (Сплит система) Инвертор: S[];  (Сплит система) Холодопроизводительность: N[3.5];  (Сплит система) Теплопроизводительность: N[3];  (Сплит система) Площадь помещения: N[35];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[850 x 420 x 185];  (Внутренний блок) Упаковка (Ш x Г x В): S[1025 x 525 x 270];  (Внутренний блок) Масса (нетто / брутто): S[16];  (Внутренний блок) Уровень шума мин. / макс.: S[];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[850 x 420 x 185];  (Наружный блок) Упаковка (Ш x Г x В): S[1025 x 525 x 270];  (Наружный блок) Масса (нетто / брутто): S[21];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
